stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
P-185,,Av. Coihueco esq. UBB Campus F. May,,-36.603161,-72.079141,,,,,
P-844,,Ruta N66 esq. Posta Huape,,-36.607858,-72.261249,,,,,
P-901,,Zañartu esq. 5 de Noviembre,,-36.606191,-72.130501,,,,,
P-363,,Camino A Las Mariposas esq. El Jardín,,-36.63095,-72.040785,,,,,
L8,,Terminal L8,,-36.625111,-72.078895,,,,,
P-262,,Av. Los Puelches esq. Esmeralda,,-36.620614,-72.086133,,,,,
P-510,,Ejercito de Chile esq. Av. Dr. Sepúlveda,,-36.605046,-72.115824,,,,,
P-626,,Lago Lanalhue esq. Av. Nueva Oriente,,-36.613517,-72.075971,,,,,
P-232,,Av. Libertad esq. Av. Brasil,,-36.604125,-72.111328,,,,,
P-808,,Reloncaví esq. Pilmaquien,,-36.617131,-72.082447,,,,,
P-207,,Av. Ecuador esq. Tregualemu,,-36.600709,-72.096601,,,,,
P-420,,Central esq. Cinco Poniente,,-36.61625,-72.122502,,,,,
P-218,,Av. Inglaterra esq. O'Brien,,-36.616291,-72.086707,,,,,
P-395,,Camino Colonia esq. Outlet,,-36.58798,-72.077364,,,,,
P-360,,Camino a Colonia B. O'Higgins esq. Emmanuel,,-36.586722,-72.075782,,,,,
P-580,,Gerona esq. Andorra,,-36.595697,-72.065585,,,,,
P-611,,Isabel Riquelme esq. El Roble,,-36.609289,-72.100216,,,,,
P-81,,Av. Alonso De Ercilla esq. Monterrico,,-36.625553,-72.082215,,,,,
P-818,,Río Viejo esq. San Ignacio,,-36.630692,-72.08902,,,,,
P-757,,Mario Vergara esq. Pasaje 3,,-36.61016,-72.086762,,,,,
P-924,,Las Rosas esq. Espino,,-36.590501,-72.110345,,,,,
P-867,,Santa Catalina de Ricci esq. San Francisco Fernández,,-36.604813,-72.06369,,,,,
P-798,,Pueblo Seco esq. Salto del Itata,,-36.631043,-72.073989,,,,,
P-244,,Av. Libertador Bernardo O'Higgins esq. Rosauro Acuña,,-36.619648,-72.120274,,,,,
P-174,,Av. Circunvalacion esq. Pueblo Seco,,-36.631169,-72.07288,,,,,
P-97,,Av. Antártica Chilena esq. Amunátegui,,-36.609383,-72.142434,,,,,
P-836,,Ruta N-439 esq. Vicente Mendez,,-36.58872,-72.078323,,,,,
P-567,,Galvarino esq. Caupolican,,-36.625284,-72.095905,,,,,
P-767,,Nueva Sur esq. Los Nardos,,-36.627447,-72.098611,,,,,
P-630,,Lago Lanalhue esq. Los Cóndores,,-36.612619,-72.079211,,,,,
P-488,,Corregidor Alvarado esq. Dos Oriente,,-36.614982,-72.124261,,,,,
P-354,,Calle Granaderos esq. Demetrio O Higgins Puga,,-36.627507,-72.110904,,,,,
P-279,,Av. Mariscal Ruíz esq. Las Américas,,-36.598626,-72.115586,,,,,
L6,,Terminal L6,,-36.62334,-72.080427,,,,,
P-697,,Los Espinos esq. Rio Cisnes,,-36.629402,-72.103547,,,,,
P-343,,Bombero Lagos esq. Av. O'Higgins,,-36.617044,-72.115075,,,,,
P-817,,Río Viejo esq. Los Raulíes,,-36.63046,-72.091193,,,,,
P-135,,Av. Baquedano esq. Paula Jaraquemada,,-36.634107,-72.126038,,,,,
P-274,,Av. Mariscal Ruiz De Gamboa esq. Puente,,-36.602494,-72.118295,,,,,
