route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
467,L,Service_Period-Weekday-1f21faa9-A-OB-1722-0019b4f,Sector Río Viejo,,1,,1f21faa9-A-OB,,
466,L,Service_Period-Weekday-a5364fd3-A-IB-0845-004b133,Villa San Sebastián,,0,,a5364fd3-A-IB,,
471,L,Service_Period-Weekday-2115c4e5-A-OB-1045-0068ac3,Camino Las Mariposas  km 14,,1,,2115c4e5-A-OB,,
466,L,Service_Period-Weekday-a5364fd3-A-IB-0918-0096ba9,Villa San Sebastián,,0,,a5364fd3-A-IB,,
472,L,Service_Period-Weekday-3c311966-A-OB-1800-009de1e,Av. Alonso de Ercilla 2787,,1,,3c311966-A-OB,,
471,D,Service_Period-Su-2115c4e5-A-OB-1627-00adc78,Camino Las Mariposas  km 14,,1,,2115c4e5-A-OB,,
476,S,Service_Period-Sa-4b932af9-A-OB-1053-00bfba6,Universidad del Bío-Bío,,1,,4b932af9-A-OB,,
473,S,Service_Period-Sa-422d808f-A-IB-1436-00db150,Villa Barcelona,,0,,422d808f-A-IB,,
470,L,Service_Period-Weekday-3fa9d509-A-IB-1535-00df303,Islas del Sur,,0,,3fa9d509-A-IB,,
469,L,Service_Period-Weekday-34a2905b-A-OB-2136-00f49db,Río Viejo,,1,,34a2905b-A-OB,,
471,D,Service_Period-Su-2115c4e5-A-OB-1444-01067f3,Camino Las Mariposas  km 14,,1,,2115c4e5-A-OB,,
473,L,Service_Period-Weekday-422d808f-A-OB-1117-0110a93,Camino Las Mariposas,,1,,422d808f-A-OB,,
469,S,Service_Period-Sa-34a2905b-A-OB-0715-0116c23,Río Viejo,,1,,34a2905b-A-OB,,
470,L,Service_Period-Weekday-3fa9d509-A-IB-1418-0127867,Islas del Sur,,0,,3fa9d509-A-IB,,
470,S,Service_Period-Sa-3fa9d509-A-IB-1425-016f674,Islas del Sur,,0,,3fa9d509-A-IB,,
477,L,Service_Period-Weekday-541518e8-A-IB-1640-016fac8,Matta esquina Zañartu,,0,,541518e8-A-IB,,
476,L,Service_Period-Weekday-4b932af9-A-OB-1047-0170ba3,Universidad del Bío-Bío,,1,,4b932af9-A-OB,,
471,L,Service_Period-Weekday-2115c4e5-A-OB-1706-017315b,Camino Las Mariposas  km 14,,1,,2115c4e5-A-OB,,
470,S,Service_Period-Sa-3fa9d509-A-IB-1515-019b7a6,Islas del Sur,,0,,3fa9d509-A-IB,,
468,L,Service_Period-Weekday-cfc96522-A-OB-1433-01c7b5f,Baquedano,,1,,cfc96522-A-OB,,
471,L,Service_Period-Weekday-2115c4e5-A-IB-1329-01cfc14,Camino Parque Lantaño,,0,,2115c4e5-A-IB,,
477,D,Service_Period-Su-541518e8-A-OB-1733-01d08e8,Camino a San Bernardo km 3,,1,,541518e8-A-OB,,
471,S,Service_Period-Sa-2115c4e5-A-IB-1101-01dda24,Camino Parque Lantaño,,0,,2115c4e5-A-IB,,
470,L,Service_Period-Weekday-3fa9d509-A-IB-1309-01e0681,Islas del Sur,,0,,3fa9d509-A-IB,,
470,S,Service_Period-Sa-3fa9d509-A-IB-1731-01f88ee,Islas del Sur,,0,,3fa9d509-A-IB,,
473,S,Service_Period-Sa-422d808f-A-OB-2039-01fdccc,Camino Las Mariposas,,1,,422d808f-A-OB,,
467,D,Service_Period-Su-1f21faa9-A-OB-2046-0200df9,Sector Río Viejo,,1,,1f21faa9-A-OB,,
473,D,Service_Period-Su-422d808f-A-OB-1155-0229fba,Camino Las Mariposas,,1,,422d808f-A-OB,,
471,D,Service_Period-Su-2115c4e5-A-OB-1336-022e85d,Camino Las Mariposas  km 14,,1,,2115c4e5-A-OB,,
470,L,Service_Period-Weekday-3fa9d509-A-IB-0926-023a3cc,Islas del Sur,,0,,3fa9d509-A-IB,,
473,L,Service_Period-Weekday-422d808f-A-OB-1608-026bc61,Camino Las Mariposas,,1,,422d808f-A-OB,,
472,L,Service_Period-Weekday-3c311966-A-OB-1211-02966fb,Av. Alonso de Ercilla 2787,,1,,3c311966-A-OB,,
477,D,Service_Period-Su-541518e8-A-IB-1102-02a2032,Matta esquina Zañartu,,0,,541518e8-A-IB,,
470,L,Service_Period-Weekday-3fa9d509-A-OB-0753-02b75c6,Diagonal Monterrico ,,1,,3fa9d509-A-OB,,
466,L,Service_Period-Weekday-a5364fd3-A-OB-0720-02de9c9,Huape,,1,,a5364fd3-A-OB,,
470,L,Service_Period-Weekday-3fa9d509-A-IB-1927-02fb038,Islas del Sur,,0,,3fa9d509-A-IB,,
471,L,Service_Period-Weekday-2115c4e5-A-OB-1730-02fea53,Camino Las Mariposas  km 14,,1,,2115c4e5-A-OB,,
473,D,Service_Period-Su-422d808f-A-OB-1227-03061f2,Camino Las Mariposas,,1,,422d808f-A-OB,,
468,L,Service_Period-Weekday-cfc96522-A-IB-1254-030e83b,Villa Emanuel,,0,,cfc96522-A-IB,,
471,D,Service_Period-Su-2115c4e5-A-IB-1051-0326efb,Camino Parque Lantaño,,0,,2115c4e5-A-IB,,
476,S,Service_Period-Sa-4b932af9-A-OB-1800-03335cf,Universidad del Bío-Bío,,1,,4b932af9-A-OB,,
467,L,Service_Period-Weekday-1f21faa9-A-OB-1545-036743b,Sector Río Viejo,,1,,1f21faa9-A-OB,,
468,S,Service_Period-Sa-cfc96522-A-IB-1200-036c15d,Villa Emanuel,,0,,cfc96522-A-IB,,
467,L,Service_Period-Weekday-1f21faa9-A-OB-1509-0371c9a,Sector Río Viejo,,1,,1f21faa9-A-OB,,
476,L,Service_Period-Weekday-4b932af9-A-OB-2028-03818ed,Universidad del Bío-Bío,,1,,4b932af9-A-OB,,
466,S,Service_Period-Sa-a5364fd3-A-IB-0947-038bff8,Villa San Sebastián,,0,,a5364fd3-A-IB,,
472,S,Service_Period-Sa-3c311966-A-OB-2136-039a8d1,Av. Alonso de Ercilla 2787,,1,,3c311966-A-OB,,
474,S,Service_Period-Sa-7a5b1ee4-A-IB-1603-03bdd8e,Cerro Leon con El Nevado,,0,,7a5b1ee4-A-IB,,
467,L,Service_Period-Weekday-1f21faa9-A-IB-0942-03be19c,Población Santa Elvira,,0,,1f21faa9-A-IB,,
466,S,Service_Period-Sa-a5364fd3-A-OB-1119-03d7de3,Huape,,1,,a5364fd3-A-OB,,
473,D,Service_Period-Su-422d808f-A-OB-1416-03e5041,Camino Las Mariposas,,1,,422d808f-A-OB,,
468,D,Service_Period-Su-cfc96522-A-IB-0949-03e5261,Villa Emanuel,,0,,cfc96522-A-IB,,
474,L,Service_Period-Weekday-7a5b1ee4-A-IB-1809-03f7d68,Cerro Leon con El Nevado,,0,,7a5b1ee4-A-IB,,
